"항목","시점",１분위,１분위,１분위,２분위,２분위,２분위,３분위,３분위,３분위,４분위,４분위,４분위,５분위,５분위,５분위,６분위,６분위,６분위,７분위,７분위,７분위,８분위,８분위,８분위,９분위,９분위,９분위,１０분위,１０분위,１０분위
"항목","시점",소득 (원),소비지출 (원),처분가능소득 (원),소득 (원),소비지출 (원),처분가능소득 (원),소득 (원),소비지출 (원),처분가능소득 (원),소득 (원),소비지출 (원),처분가능소득 (원),소득 (원),소비지출 (원),처분가능소득 (원),소득 (원),소비지출 (원),처분가능소득 (원),소득 (원),소비지출 (원),처분가능소득 (원),소득 (원),소비지출 (원),처분가능소득 (원),소득 (원),소비지출 (원),처분가능소득 (원),소득 (원),소비지출 (원),처분가능소득 (원)
"전체가구","2015 1/4",974405,1145701,762485,1928663,1548124,1567591,2599011,1916847,2173555,3192278,2174204,2634754,3720797,2508880,3071102,4266366,2752950,3515444,4926449,2881589,4029805,5739103,3317349,4605149,6982627,3731960,5698947,10828175,4551140,8613835
"전체가구","2015 2/4",1031379,1064773,856136,1941004,1484887,1652888,2612981,1881521,2194945,3122067,2113323,2603139,3622703,2301690,2905283,4134326,2680050,3397234,4700072,2750918,3825434,5381241,3110062,4368515,6402122,3227613,5169246,9748206,4325139,7857406
"전체가구","2003",638957,771383,499632,1213987,1064871,1013238,1598817,1280267,1351738,1927149,1443076,1619775,2232278,1546854,1870906,2569499,1698793,2155682,2919431,1858959,2449625,3368899,2123705,2801563,4023426,2270907,3313307,5809644,2939906,4758516
"전체가구","2004",673071,828004,531707,1265991,1121099,1059608,1655633,1310720,1395148,1986208,1463386,1671005,2332860,1658688,1962932,2694188,1836103,2264470,3094474,1990328,2586964,3598440,2153714,2996103,4312748,2430919,3535344,6266820,3178186,5081635
"전체가구","2005",649122,831317,514805,1275328,1119699,1062670,1689025,1356111,1416201,2066573,1576043,1740937,2425283,1707759,2047323,2803212,1888584,2357646,3223571,2041389,2700177,3729759,2290080,3108896,4477114,2565280,3691981,6636603,3339722,5391046
"전체가구","2006",671799,830030,535335,1322811,1166227,1112744,1758039,1371281,1477023,2126825,1610478,1783671,2517061,1741956,2112193,2929032,1991659,2465731,3394694,2177834,2838408,3965774,2388914,3286287,4726081,2728884,3870752,6962675,3439734,5591577
"전체가구","2007",683203,843663,540632,1353447,1192463,1135996,1832627,1455151,1550665,2245292,1646896,1889312,2642452,1816742,2241705,3070775,2103231,2571095,3547411,2189458,2966114,4147744,2493963,3420398,5004508,2783708,4071327,7466242,3631205,5929958
"전체가구","2008",720181,927028,571411,1438565,1264676,1209229,1931668,1541498,1620613,2361758,1761053,1982406,2789362,1959080,2337854,3243381,2104517,2734062,3742924,2341577,3126729,4379640,2618980,3589706,5316587,2905158,4354531,7977785,3716328,6337945
"전체가구","2009",729358,926683,557415,1465066,1219949,1231803,1980492,1540278,1654173,2430070,1766031,2016402,2869515,1953277,2394767,3323947,2220545,2748919,3822542,2378505,3161937,4449828,2647666,3634560,5345285,3042625,4348874,7898111,3793730,6302622
"전체가구","2010",805928,980810,632706,1576296,1321806,1314886,2152155,1661400,1811293,2647750,1928562,2211549,3076308,2106344,2533859,3512570,2326768,2922127,4044393,2559239,3334702,4671484,2814203,3777362,5611878,3191636,4533489,8206641,3974029,6496065
"전체가구","2011",831396,1000341,646782,1678195,1436967,1389675,2289491,1763862,1898012,2811303,2074739,2338298,3268634,2302210,2707953,3742024,2399041,3098200,4268755,2706587,3476596,4913083,2977272,3988747,5914052,3251683,4713301,8692134,4011523,6930156
"전체가구","2012",902742,1044575,721281,1800064,1463963,1483912,2451010,1785001,2048019,2976744,2085863,2475943,3446896,2271208,2866839,3946947,2550619,3284028,4517886,2668611,3704618,5228436,3099943,4220271,6277419,3391696,5012104,9212135,4210091,7350446
"전체가구","2013",919787,1039679,737603,1845516,1476508,1511427,2539141,1856022,2132950,3068233,2174330,2553038,3527240,2211837,2915944,4034696,2508653,3340138,4624754,2870953,3786242,5362759,3031518,4357960,6417488,3387322,5128611,9269585,4247095,7338687
"전체가구","2014",981849,1034899,811891,1938301,1478922,1603455,2601814,1900990,2170378,3130663,2144815,2603480,3659284,2402855,3035699,4175958,2660968,3446106,4752823,2798543,3897534,5519584,3113047,4462693,6637739,3546248,5316446,9621438,4427688,7628137
